Year,Country code,Country,Population,Total Water Consumption(Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Water Scarcity Level,Number of dams,Reservoir_Capacity_TMC,Number_of_Industries,ISO_Code,Water_Use_Intensity,Sector_Balance,Infrastructure_per_Capita,Water_Consumption_lag1,Per_Capita_lag1,Water_Consumption_MA3,Population_Rainfall_Interaction,Agri_GW_Interaction
1990,356,India,405123000,350,2367.85,39.5,37.2,23.3,1615.8,2.1,Low,2240,1250,8800,IND,8.64E-07,0.918518519,3.09E-06,61.3,441,350,6.55E+11,82.95
1990,156,China,1130000000,502,1212.14,84,37.2,5,640,2,Low,19000,450,126000,CHN,4.44E-07,0.437647059,3.98E-07,61.3,441,502,7.23E+11,168
1990,840,USA,249000000,564,2180,65,45,12,715,30,High,75000,460,380000,USA,2.27E-06,0.681818182,1.85E-06,61.3,441,564,1.78E+11,1950
1990,76,Brazil,149000000,45,827.9,60,20,10,2200,2,Low,1500,350,130000,BRA,3.02E-07,0.327868852,2.35E-06,61.3,441,45,3.28E+11,120
1990,643,Russia,148000000,117,2165.5,35,45,10,460,7,High,3300,850,45000,RUS,7.91E-07,1.25,5.74E-06,61.3,441,117,68080000000,245
1990,484,Mexico,81200000,77,360,82,5,8,750,1,Moderate,4000,7000,250000,MEX,9.48E-07,0.060240964,8.62E-05,61.3,441,77,60900000000,82
1990,36,Australia,210000,16.5,214.9,1,55,55,905,2,Low,4500,1560,250000,AUS,7.86E-05,27.5,0.007428536,61.3,441,16.5,190050000,2
1990,826,England,48000000,16.5,940.1,1,25,55,905,0.3,Low,4500,1800,210000,GBR,3.44E-07,12.5,3.75E-05,61.3,441,16.5,43440000000,0.3
1990,250,France,58200000,40,175,15,22,16,770,20,Low,550,7800,210000,FRA,6.87E-07,1.375,0.000134021,61.3,441,40,44814000000,300
1990,124,Canada,27700000,45,650,12,80,9,537,0,Low,10000,60000,70000,CAN,1.62E-06,6.153846154,0.002166065,61.3,441,45,14874900000,0
1990,392,Japan,123500000,89,360,66,33,18,1695,0,Low,2800,17000,470000,JPN,7.21E-07,0.492537313,0.000137652,61.3,441,89,2.09E+11,0
1990,32,Argentina,32600000,32,550,75,8,10,591,0.5,Low,100,2100,60000,ARG,9.82E-07,0.105263158,6.44E-05,61.3,441,32,19266600000,37.5
1990,704,Vietnam,66000000,60,80,92,8,8,1800,0.1,Low,500,17000,15000,VNM,9.09E-07,0.086021505,0.000257576,61.3,441,60,1.19E+11,9.2
1990,608,Philippines,61900000,50,160,86,5,10,2400,0.5,Low,700,850,30000,PHL,8.08E-07,0.057471264,1.37E-05,61.3,441,50,1.49E+11,43
1990,364,Iran,56000000,71,450,92,5,6,250,5,Moderate,40,25,65000,IRN,1.27E-06,0.053763441,4.46E-07,61.3,441,71,14000000000,460
1990,764,Thailand,56100000,35,500,90,5,5,1600,5,Low,10000,70000,60000,THA,6.24E-07,0.054945055,0.001247772,61.3,441,35,89760000000,450
1990,860,Uzbekistan,20500000,64,2000,98,8,5,250,2,Moderate,1000,28000,2000,UZB,3.12E-06,0.080808081,0.001365854,61.3,441,64,5125000000,196
1990,792,Turkey,56500000,32,180,75,12,16,670,1,Low,500,1700,90000,TUR,5.66E-07,0.157894737,3.01E-05,61.3,441,32,37855000000,75
